ability	förmåga
effect	effekt
effort	ansträngning
eight	åtta
either	antingen
election	val
else	annan
employee	anställd
end	slutet
energy	energi
enjoy	njut av
enough	tillräckligt
enter	stiga på
entire	hel
environment	miljö
environmental	miljö
especially	speciellt
establish	slå fast
even	även
evening	kväll
event	händelse
ever	någonsin
every	varje
everybody	alla
everyone	alla
everything	allt
evidence	bevis
exactly	exakt
example	exempel
executive	verkställande
exist	existera
expect	förvänta
experience	erfarenhet
expert	expert
explain	förklara
eye	öga
face	ansikte
fact	faktum
factor	faktor
fail	misslyckas
fall	falla
family	familj
far	långt
fast	snabb
father	far
fear	rädsla
federal	federal
feel	känna
feeling	känsla
few	få
field	fält
fight	bekämpa
figure	figur
fill	fylla
film	filma
final	slutlig
finally	till sist
financial	finansiell
find	hitta
fine	bra
finger	finger
finish	avsluta
fire	brand
firm	fast
first	först
fish	fisk
five	fem
floor	golv
fly	flyga
focus	fokus
follow	följ
food	mat
foot	fot
for	för
force	tvinga
foreign	utländsk
forget	glömma
form	form
former	före detta
forward	fram
four	fyra
free	fri
friend	vän
from	från
front	främre
full	full
fund	fond
future	framtida
game	spel
garden	trädgård
gas	gas
general	allmän
generation	generation
get	skaffa sig
girl	flicka
give	ge
glass	glas
go	gå
goal	mål
good	bra
government	regering
great	bra
green	grön
ground	jord
group	grupp
grow	växa
growth	tillväxt
guess	gissa
gun	pistol
guy	kille
hair	hår
half	halv
hand	hand
hang	hänga
happen	hända
happy	lycklig
hard	hård
have	ha
he	han
head	huvud
health	hälsa
hear	höra
heart	hjärta
heat	värme
heavy	tung
help	hjälpa
her	henne
here	här
herself	själv
high	hög
him	honom
himself	han själv
his	hans
history	historia
hit	träffa
hold	håll
home	hem
hope	hoppas
hospital	sjukhus
hot	varm
hotel	hotell
hour	timme
house	hus
how	hur
however	dock
huge	enorm
human	mänsklig
hundred	hundra
husband	man
i	jag
idea	aning
identify	identifiera
if	om
image	bild
imagine	tänka
impact	inverkan
important	viktig
improve	förbättra
in	i
include	omfatta
including	inklusive
increase	öka
indeed	verkligen
indicate	ange
individual	enskild
industry	industri
information	information
inside	inuti
instead	istället
institution	institution
interest	intressera
interesting	intressant
international	internationell
interview	intervju
into	in i
investment	investering
involve	engagera
issue	problem
it	det
item	artikel
its	dess
itself	sig
job	jobb
join	ansluta sig
just	bara
keep	ha kvar
key	nyckel
kid	unge
kill	döda
kind	snäll
kitchen	kök
know	känna till
knowledge	kunskap
land	landa
language	språk
large	stor
last	sista
late	sent
later	senare
laugh	skratt
law	lag
lawyer	advokat
lay	lägga
lead	leda
leader	ledare
learn	lära sig
least	minst
leave	lämna
left	vänster
leg	ben
legal	rättslig
less	mindre
let	låta
letter	brev
level	nivå
lie	lögn
life	liv
light	ljus
like	tycka om
likely	troligt
line	linje
list	lista
listen	lyssna
little	liten
live	leva
local	lokal
long	lång
look	se
lose	förlora
loss	förlust
lot	massa
love	kärlek
low	låg
machine	maskin
magazine	tidskrift
main	huvud
maintain	upprätthålla
major	större
majority	majoritet
make	göra
man	man
manage	hantera
management	förvaltning
manager	chef
many	många
market	marknadsföra
marriage	äktenskap
material	material
matter	materia
may	maj
maybe	kanske
me	mig
mean	betyda
measure	mäta
media	media
medical	medicinsk
meet	träffa
meeting	möte
member	medlem
memory	minne
mention	nämna
message	meddelande
method	metod
middle	mitten
might	makt
military	militär
million	miljon
mind	sinne
minute	minut
miss	fröken
mission	uppdrag
model	modell
modern	modern
moment	ögonblick
money	pengar
month	månad
more	mer
morning	morgon
most	mest
mother	mor
mouth	mun
move	flytta
movement	rörelse
movie	film
mr	herr
mrs	fru
much	mycket
music	musik
must	måste
my	min
myself	jag själv
name	namn
nation	nation
national	nationell
natural	naturlig
nature	natur
near	nära
nearly	nästan
necessary	nödvändig
need	behöver
network	nätverk
never	aldrig
new	ny
news	nyheter
newspaper	tidning
next	nästa
nice	trevlig
night	natt
no	nej
none	ingen
nor	inte heller
north	norr
not	inte
note	notera
nothing	ingenting
notice	lägga märke till
now	nu
n't	inte
number	siffra
occur	inträffa
of	av
off	av
offer	erbjudande
office	kontor
officer	officer
official	officiell
often	ofta
oh	åh
oil	olja
ok	ok
old	gammal
on	på
once	en gång
one	ett
only	endast
onto	till
open	öppen
operation	drift
opportunity	möjlighet
option	alternativ
or	eller
order	beställa
organization	organisation
other	andra
others	andra
our	vår
out	ut
outside	utanför
over	över
own	egen
owner	ägare
page	sida
pain	smärta
painting	målning
paper	papper
parent	förälder
part	del
participant	deltagare
particular	särskild
particularly	särskilt
partner	partner
party	fest
pass	passera
past	dåtid
patient	patient
pattern	mönster
pay	betala
peace	fred
people	personer
per	per
perform	utföra
performance	prestanda
perhaps	kanske
period	period
person	person
personal	personlig
phone	telefon
physical	fysisk
pick	plocka
picture	bild
piece	bit
place	plats
plan	planen
plant	växt
play	spela
player	spelare
pm	e.m
point	punkt
police	polis
policy	politik
political	politisk
politics	politik
poor	fattig
popular	populär
population	befolkning
position	placera
positive	positiv
possible	möjlig
power	kraft
practice	öva
prepare	förbereda
present	närvarande
president	president
pressure	tryck
pretty	söt
prevent	förhindra
price	pris
private	privat
probably	förmodligen
problem	problem
process	bearbeta
produce	producera
product	produkt
production	produktion
professional	professionell
professor	professor
program	program
project	projekt
property	fast egendom
protect	skydda
prove	bevisa
provide	förse
public	offentlig
pull	dra
purpose	syfte
push	skjuta på
put	sätta
quality	kvalitet
question	fråga
quickly	snabbt
quite	ganska
race	lopp
radio	radio
raise	höja
range	räckvidd
rate	betygsätta
rather	snarare
reach	nå
read	läsa
ready	redo
real	verklig
reality	verklighet
realize	inse
really	verkligen
reason	anledning
receive	motta
recent	nyligen
recently	nyligen
recognize	erkänna
record	spela in
red	röd
reduce	minska
reflect	reflektera
region	område
relate	relatera
relationship	relation
religious	religiös
remain	förbli
remember	kom ihåg
remove	avlägsna
report	rapportera
represent	representera
republican	republikan
require	behöva
research	forskning
resource	resurs
respond	svara
response	svar
responsibility	ansvar
rest	resten
result	resultat
return	lämna tillbaka
reveal	avslöja
rich	rik
right	höger
rise	stiga
risk	risk
road	väg
rock	sten
role	roll
room	rum
rule	regel
run	springa
safe	säker
same	samma
save	spara
say	säga
scene	scen
school	skola
science	vetenskap
scientist	forskare
score	göra
sea	hav
season	säsong
seat	sittplats
second	andra
section	sektion
security	säkerhet
see	se
seek	söka
seem	verka
sell	sälja
send	skicka
senior	senior
sense	känsla
series	serier
serious	allvarlig
serve	tjäna
service	service
set	uppsättning
seven	sju
several	flera
sex	sex
sexual	sexuell
shake	skaka
share	dela med sig
she	hon
shoot	skjuta
short	kort
shot	skott
should	skall
shoulder	skuldra
show	show
side	sida
sign	skylt
significant	signifikant
similar	liknande
simple	enkel
simply	helt enkelt
since	sedan
sing	sjunga
single	enda
sister	syster
sit	sitta
site	webbplats
situation	situation
six	sex
size	storlek
skill	skicklighet
skin	hud
small	små
smile	leende
so	så
social	social
society	samhälle
soldier	soldat
some	några
somebody	någon
someone	någon
something	något
sometimes	ibland
son	son
song	låt
soon	snart
sort	sortera
sound	ljud
source	källa
south	söder
southern	sydlig
space	rymden
speak	tala
special	särskild
specific	specifik
speech	tal
spend	spendera
sport	sport
spring	vår
staff	personal
stage	skede
stand	stå
standard	standard
star	stjärna
start	start
state	stat
statement	påstående
station	station
stay	stanna kvar
step	steg
still	fortfarande
stock	stock
stop	sluta
store	lagra
story	berättelse
strategy	strategi
street	gata
strong	stark
structure	strukturera
student	studerande
study	studie
stuff	grejer
style	stil
subject	ämne
success	framgång
successful	framgångsrik
such	sådan
suddenly	plötsligt
suffer	lida
suggest	föreslå
summer	sommar
support	stöd
sure	säker
surface	yta
system	systemet
table	tabell
take	ta
talk	prata
task	uppgift
tax	beskatta
teach	lära
teacher	lärare
team	team
technology	teknologi
television	tv
tell	säga
ten	tio
tend	tendera
term	termin
test	testa
than	än
thank	tacka
that	den där
the	de
their	deras
them	dem
themselves	sig själva
then	sedan
theory	teori
there	där
these	dessa
they	de
thing	sak
think	tror
third	tredje
this	detta
those	de där
though	dock
thought	trodde
thousand	tusen
threat	hot
three	tre
through	genom
throughout	genom hela
throw	kasta
thus	således
time	tid
to	till
today	i dag
together	tillsammans
tonight	i kväll
too	för
top	topp
total	total
tough	tuff
toward	mot
town	stad
trade	handel
traditional	traditionell
training	utbildning
travel	resa
treat	behandla
treatment	behandling
tree	träd
trial	rättegång
trip	resa
trouble	problem
true	sann
truth	sanning
try	prova
turn	sväng
tv	tv
two	två
type	typ
under	under
understand	förstå
unit	enhet
until	fram tills
up	upp
upon	på
us	oss
use	använda sig av
usually	vanligtvis
value	värde
various	olika
very	mycket
victim	offer
view	se
violence	våld
visit	besök
voice	röst
vote	rösta
wait	vänta
walk	gå
wall	vägg
want	vilja
war	krig
watch	kolla på
water	vatten
way	sätt
we	vi
weapon	vapen
wear	ha på sig
week	vecka
weight	vikt
well	väl
west	väster
western	västra
what	vad
whatever	vad som helst
when	när
where	var
whether	huruvida
which	som
while	medan
white	vit
who	vem
whole	hela
whom	vem
whose	vars
why	varför
wide	bred
wife	fru
will	kommer
win	vinna
wind	vind
window	fönster
wish	önskar
with	med
within	inom
without	utan
woman	kvinna
wonder	undra
word	ord
work	arbete
worker	arbetstagare
world	värld
worry	oroa
would	skulle
write	skriva
writer	författare
wrong	fel
yard	gård
yeah	ja
year	år
yes	ja
yet	än
you	du
young	ung
your	din
yourself	själv
